w = 0,w = 0.02,w = -0.02,w = 0.1,w = -0.3
0.895507,0.869252,0.997633,1.220292,1.994624
0.727537,0.735934,0.790231,1.115996,1.994513
0.600189,0.628243,0.628156,1.006867,1.994397
0.503365,0.538946,0.5085,0.896816,1.994278
0.428042,0.463995,0.421129,0.790045,1.994156
0.368016,0.401013,0.356104,0.690236,1.994029
0.319378,0.348305,0.306239,0.599969,1.993898
0.279582,0.304406,0.266937,0.520538,1.993762
0.246822,0.267956,0.235308,0.452101,1.993622
0.219713,0.237701,0.209466,0.394007,1.993477
0.197152,0.212528,0.188099,0.345159,1.993326
0.178254,0.191486,0.17025,0.304294,1.99317
0.162305,0.173786,0.1552,0.270163,1.993007
0.148739,0.158784,0.142396,0.241617,1.992839
0.137106,0.145967,0.131407,0.217654,1.992663
0.127049,0.134926,0.121899,0.197427,1.99248
0.118288,0.12534,0.113608,0.180236,1.99229
0.110598,0.116951,0.106324,0.165516,1.992091
0.103802,0.109558,0.099881,0.152813,1.991883
0.097757,0.102997,0.094146,0.141767,1.991666
0.092347,0.097139,0.08901,0.132091,1.991439
0.087478,0.091879,0.084386,0.123555,1.9912
0.083076,0.08713,0.080202,0.115975,1.99095
0.079075,0.082822,0.076398,0.109205,1.990687
0.075424,0.078897,0.072925,0.103122,1.990411
0.072079,0.075306,0.069741,0.09763,1.990119
0.069003,0.072009,0.066812,0.092646,1.989811
0.066166,0.068971,0.064109,0.088104,1.989486
0.063539,0.066163,0.061605,0.083948,1.989141
0.061102,0.06356,0.059281,0.080131,1.988775
0.058833,0.061141,0.057116,0.076614,1.988386
0.056717,0.058886,0.055096,0.073362,1.987971
0.054738,0.05678,0.053205,0.070348,1.987528
0.052883,0.054809,0.051433,0.067546,1.987053
0.051142,0.052961,0.049768,0.064936,1.986544
0.049504,0.051224,0.048201,0.062498,1.985996
0.047961,0.049589,0.046723,0.060217,1.985404
0.046504,0.048047,0.045328,0.058079,1.984762
0.045127,0.046591,0.044007,0.056071,1.984065
0.043823,0.045214,0.042757,0.054182,1.983303
0.042587,0.04391,0.04157,0.052403,1.982468
0.041413,0.042673,0.040444,0.050725,1.981549
0.040298,0.041498,0.039372,0.049139,1.980531
0.039237,0.040382,0.038351,0.04764,1.979397
0.038225,0.039319,0.037379,0.04622,1.978127
0.037261,0.038307,0.036451,0.044874,1.976693
0.036341,0.037341,0.035564,0.043597,1.975061
0.035461,0.036419,0.034716,0.042383,1.973186
0.03462,0.035538,0.033905,0.041229,1.97101
0.033815,0.034695,0.033128,0.040131,1.968454
0.033044,0.033888,0.032384,0.039084,1.96541
0.032304,0.033115,0.031669,0.038086,1.961728
0.031594,0.032374,0.030983,0.037133,1.957195
0.030912,0.031662,0.030324,0.036223,1.951505
0.030257,0.030979,0.02969,0.035352,1.944211
0.029627,0.030322,0.02908,0.034519,1.934662
0.02902,0.029691,0.028493,0.033721,1.921926
0.028436,0.029083,0.027927,0.032956,1.904699
0.027874,0.028498,0.027382,0.032223,1.881266
0.027331,0.027934,0.026855,0.031518,1.849657
0.026807,0.02739,0.026348,0.030842,1.808217
0.026302,0.026865,0.025857,0.030191,1.75627
0.025814,0.026359,0.025383,0.029566,1.693355
0.025342,0.025869,0.024925,0.028963,1.617821
0.024886,0.025397,0.024482,0.028383,1.528973
0.024445,0.024939,0.024054,0.027824,1.428299
0.024018,0.024497,0.023638,0.027285,1.318735
0.023605,0.024069,0.023236,0.026765,1.203477
0.023205,0.023655,0.022847,0.026262,1.085526
0.022816,0.023253,0.022469,0.025777,0.96806
0.02244,0.022864,0.022103,0.025308,0.854613
0.022075,0.022487,0.021747,0.024854,0.748958
0.021721,0.022121,0.021402,0.024415,0.654407
0.021377,0.021766,0.021067,0.02399,0.572874
0.021043,0.021422,0.020742,0.023579,0.50438
0.020719,0.021087,0.020425,0.02318,0.447412
0.020404,0.020762,0.020118,0.022794,0.399809
0.020097,0.020446,0.019819,0.022419,0.359487
0.019799,0.020138,0.019528,0.022055,0.324741
0.019509,0.01984,0.019245,0.021703,0.294294
0.019227,0.019549,0.018969,0.02136,0.267253
0.018952,0.019266,0.018701,0.021027,0.243024
0.018685,0.018991,0.01844,0.020704,0.221212
0.018424,0.018722,0.018185,0.02039,0.201547
0.01817,0.018461,0.017937,0.020084,0.183826
0.017923,0.018207,0.017695,0.019787,0.167878
0.017682,0.017958,0.017459,0.019498,0.153549
0.017446,0.017716,0.017229,0.019216,0.140694
0.017217,0.01748,0.017004,0.018942,0.129175
0.016993,0.01725,0.016785,0.018675,0.118861
0.016774,0.017026,0.016571,0.018415,0.10963
0.01656,0.016806,0.016362,0.018161,0.101368
0.016352,0.016592,0.016158,0.017914,0.093972
0.016148,0.016383,0.015959,0.017673,0.087347
0.015949,0.016179,0.015764,0.017438,0.081407
0.015755,0.01598,0.015573,0.017209,0.076077
0.015565,0.015785,0.015387,0.016985,0.071286
0.015379,0.015594,0.015205,0.016766,0.066973
0.015197,0.015408,0.015027,0.016553,0.063085
0.015019,0.015225,0.014852,0.016345,0.059571
0.014845,0.015047,0.014682,0.016141,0.05639
0.014675,0.014873,0.014515,0.015942,0.053503
0.014509,0.014702,0.014352,0.015748,0.050877
0.014346,0.014535,0.014192,0.015558,0.048482
0.014186,0.014372,0.014035,0.015372,0.046291
0.014029,0.014212,0.013881,0.01519,0.044284
0.013876,0.014055,0.013731,0.015012,0.042438
0.013726,0.013901,0.013584,0.014838,0.040738
0.013579,0.013751,0.013439,0.014668,0.039167
0.013435,0.013603,0.013298,0.014501,0.037711
0.013294,0.013459,0.013159,0.014338,0.03636
0.013155,0.013317,0.013023,0.014178,0.035103
0.013019,0.013178,0.01289,0.014022,0.03393
0.012886,0.013042,0.012759,0.013868,0.032834
0.012755,0.012908,0.01263,0.013718,0.031807
0.012627,0.012777,0.012504,0.013571,0.030844
0.012501,0.012648,0.012381,0.013426,0.029938
0.012377,0.012522,0.012259,0.013285,0.029084
0.012256,0.012398,0.01214,0.013146,0.028279
0.012137,0.012277,0.012023,0.01301,0.027517
0.01202,0.012157,0.011908,0.012877,0.026797
0.011906,0.01204,0.011795,0.012746,0.026114
0.011793,0.011925,0.011684,0.012617,0.025465
0.011682,0.011812,0.011575,0.012491,0.024848
0.011573,0.011701,0.011468,0.012368,0.024262
0.011466,0.011592,0.011363,0.012246,0.023702
