W = 0.008,W = -0.008,W = -0.0002,W = 0.0002,W = 0.0
0.966214,1.041829,0.999205,0.997304,0.998251
0.962073,1.036401,0.99444,0.992572,0.993502
0.957963,1.031019,0.989714,0.987878,0.988793
0.953884,1.02568,0.985027,0.983223,0.984122
0.949836,1.020386,0.980379,0.978606,0.979489
0.945818,1.015135,0.975768,0.974027,0.974894
0.94183,1.009929,0.971196,0.969485,0.970337
0.937872,1.004766,0.966661,0.964981,0.965817
0.933944,0.999646,0.962163,0.960513,0.961335
0.930045,0.994569,0.957703,0.956083,0.956889
0.926175,0.989536,0.953278,0.951688,0.95248
0.922334,0.984545,0.948891,0.947329,0.948107
0.918522,0.979596,0.944539,0.943007,0.94377
0.914738,0.97469,0.940224,0.938719,0.939468
0.910981,0.969825,0.935943,0.934467,0.935202
0.907253,0.965003,0.931698,0.93025,0.930971
0.903552,0.960221,0.927488,0.926067,0.926774
0.899878,0.955481,0.923313,0.921918,0.922612
0.896232,0.950782,0.919171,0.917803,0.918484
0.892612,0.946123,0.915064,0.913722,0.91439
0.889018,0.941505,0.91099,0.909675,0.910329
0.885451,0.936926,0.90695,0.90566,0.906302
0.881909,0.932387,0.902943,0.901678,0.902307
0.878394,0.927887,0.898968,0.897728,0.898345
0.874903,0.923427,0.895026,0.89381,0.894415
0.871438,0.919005,0.891116,0.889924,0.890517
0.867998,0.914621,0.887238,0.88607,0.886651
0.864583,0.910276,0.883391,0.882247,0.882816
0.861192,0.905968,0.879576,0.878454,0.879012
0.857825,0.901698,0.875791,0.874692,0.875239
0.854483,0.897465,0.872037,0.870961,0.871496
0.851164,0.893269,0.868313,0.867259,0.867783
0.847869,0.889109,0.86462,0.863587,0.8641
0.844597,0.884985,0.860955,0.859944,0.860447
0.841348,0.880897,0.857321,0.856331,0.856823
0.838121,0.876844,0.853715,0.852746,0.853228
0.834918,0.872827,0.850138,0.849189,0.849661
0.831737,0.868844,0.84659,0.845661,0.846123
0.828578,0.864896,0.84307,0.842161,0.842613
0.825441,0.860982,0.839578,0.838688,0.83913
0.822326,0.857101,0.836113,0.835243,0.835675
0.819232,0.853255,0.832676,0.831825,0.832248
0.81616,0.849441,0.829266,0.828433,0.828847
0.813109,0.84566,0.825882,0.825068,0.825473
0.810078,0.841911,0.822525,0.821729,0.822125
0.807069,0.838194,0.819195,0.818416,0.818803
0.804079,0.83451,0.81589,0.815129,0.815507
0.801111,0.830856,0.812611,0.811867,0.812237
0.798162,0.827234,0.809357,0.80863,0.808991
0.795233,0.823643,0.806129,0.805418,0.805771
0.792324,0.820082,0.802925,0.802231,0.802576
0.789434,0.816551,0.799746,0.799068,0.799405
0.786564,0.81305,0.796591,0.795929,0.796258
0.783712,0.809579,0.79346,0.792814,0.793135
0.78088,0.806136,0.790354,0.789722,0.790036
0.778067,0.802723,0.78727,0.786654,0.78696
0.775272,0.799338,0.78421,0.783609,0.783907
0.772495,0.795982,0.781173,0.780586,0.780878
0.769737,0.792653,0.778159,0.777587,0.777871
0.766996,0.789352,0.775168,0.774609,0.774886
0.764274,0.786078,0.772199,0.771654,0.771924
0.761569,0.782832,0.769252,0.76872,0.768984
0.758882,0.779612,0.766326,0.765808,0.766065
0.756212,0.776418,0.763423,0.762918,0.763168
0.753559,0.773251,0.760541,0.760049,0.760293
0.750923,0.77011,0.75768,0.7572,0.757438
0.748304,0.766994,0.754839,0.754373,0.754604
0.745702,0.763903,0.75202,0.751565,0.751791
0.743116,0.760838,0.749221,0.748779,0.748998
0.740547,0.757797,0.746443,0.746012,0.746225
0.737994,0.754781,0.743684,0.743265,0.743473
0.735457,0.751788,0.740945,0.740537,0.74074
0.732935,0.74882,0.738226,0.73783,0.738026
0.73043,0.745875,0.735527,0.735141,0.735332
0.72794,0.742954,0.732846,0.732471,0.732657
0.725466,0.740056,0.730185,0.72982,0.730001
0.723007,0.73718,0.727542,0.727188,0.727363
0.720563,0.734328,0.724918,0.724574,0.724745
0.718134,0.731497,0.722312,0.721979,0.722144
0.71572,0.728689,0.719725,0.719401,0.719562
0.713321,0.725902,0.717156,0.716842,0.716997
0.710937,0.723137,0.714604,0.7143,0.71445
0.708566,0.720393,0.71207,0.711775,0.711921
0.706211,0.717671,0.709554,0.709268,0.709409
0.703869,0.714969,0.707055,0.706778,0.706915
0.701542,0.712288,0.704573,0.704305,0.704437
0.699228,0.709627,0.702108,0.701848,0.701976
0.696929,0.706987,0.699659,0.699408,0.699532
0.694643,0.704366,0.697227,0.696985,0.697105
0.692371,0.701765,0.694812,0.694578,0.694693
0.690112,0.699184,0.692413,0.692187,0.692298
0.687866,0.696622,0.69003,0.689811,0.689919
0.685634,0.694079,0.687662,0.687452,0.687556
0.683415,0.691555,0.685311,0.685108,0.685208
0.681208,0.689049,0.682975,0.68278,0.682876
0.679015,0.686562,0.680655,0.680466,0.680559
0.676834,0.684093,0.678349,0.678168,0.678257
0.674666,0.681642,0.676059,0.675885,0.675971
0.672511,0.679209,0.673784,0.673617,0.673699
0.670368,0.676793,0.671523,0.671363,0.671442
0.668237,0.674395,0.669278,0.669124,0.669199
0.666118,0.672014,0.667046,0.666899,0.666971
0.664012,0.66965,0.664829,0.664689,0.664758
0.661918,0.667303,0.662626,0.662492,0.662558
0.659835,0.664973,0.660438,0.66031,0.660372
0.657764,0.662659,0.658263,0.658141,0.658201
0.655705,0.660361,0.656102,0.655986,0.656043
0.653658,0.65808,0.653954,0.653844,0.653898
0.651621,0.655814,0.651821,0.651716,0.651767
0.649597,0.653565,0.6497,0.649601,0.649649
0.647583,0.65133,0.647593,0.647499,0.647545
0.645581,0.649112,0.645499,0.645411,0.645453
0.64359,0.646908,0.643417,0.643335,0.643375
0.64161,0.64472,0.641349,0.641272,0.641309
0.639641,0.642546,0.639293,0.639221,0.639256
0.637682,0.640388,0.63725,0.637183,0.637216
0.635735,0.638244,0.63522,0.635158,0.635188
0.633798,0.636114,0.633202,0.633144,0.633172
0.631871,0.633999,0.631196,0.631143,0.631168
0.629955,0.631898,0.629202,0.629154,0.629177
0.628049,0.62981,0.62722,0.627177,0.627197
0.626154,0.627737,0.62525,0.625211,0.62523
0.624269,0.625677,0.623292,0.623257,0.623274
0.622394,0.623631,0.621346,0.621315,0.621329
0.620529,0.621599,0.619411,0.619385,0.619397
0.618674,0.619579,0.617488,0.617465,0.617475
0.616829,0.617573,0.615575,0.615557,0.615565
0.614993,0.61558,0.613675,0.61366,0.613666
0.613168,0.6136,0.611785,0.611774,0.611779
0.611351,0.611632,0.609906,0.6099,0.609902
0.609545,0.609677,0.608038,0.608035,0.608036
0.607748,0.607734,0.606182,0.606182,0.606181
0.60596,0.605804,0.604335,0.60434,0.604336
0.604182,0.603886,0.6025,0.602507,0.602503
0.602413,0.60198,0.600675,0.600686,0.600679
0.600654,0.600086,0.59886,0.598875,0.598866
0.598903,0.598204,0.597056,0.597074,0.597064
0.597161,0.596334,0.595262,0.595283,0.595271
0.595429,0.594475,0.593478,0.593502,0.593489
0.593705,0.592628,0.591704,0.591731,0.591717
0.59199,0.590792,0.58994,0.58997,0.589954
0.590284,0.588967,0.588186,0.588219,0.588202
0.588586,0.587154,0.586442,0.586478,0.586459
0.586898,0.585351,0.584708,0.584746,0.584726
0.585217,0.58356,0.582983,0.583024,0.583003
0.583546,0.581779,0.581267,0.581312,0.581289
0.581882,0.580009,0.579561,0.579609,0.579584
0.580227,0.57825,0.577865,0.577915,0.577889
0.578581,0.576501,0.576178,0.57623,0.576203
0.576942,0.574763,0.5745,0.574555,0.574526
0.575312,0.573034,0.572831,0.572888,0.572859
0.57369,0.571317,0.571171,0.571231,0.5712
0.572076,0.569609,0.56952,0.569582,0.56955
0.57047,0.567911,0.567878,0.567942,0.56791
0.568872,0.566223,0.566245,0.566312,0.566278
0.567282,0.564545,0.564621,0.564689,0.564654
0.5657,0.562877,0.563005,0.563076,0.56304
0.564125,0.561218,0.561398,0.561471,0.561433
0.562558,0.559569,0.559799,0.559874,0.559836
0.560999,0.557929,0.558209,0.558286,0.558247
0.559447,0.556299,0.556627,0.556706,0.556666
0.557903,0.554678,0.555054,0.555135,0.555093
0.556367,0.553066,0.553488,0.553571,0.553529
0.554838,0.551463,0.551931,0.552016,0.551973
0.553316,0.549869,0.550382,0.550469,0.550425
0.551802,0.548284,0.548841,0.54893,0.548885
0.550294,0.546708,0.547308,0.547398,0.547353
0.548794,0.545141,0.545783,0.545875,0.545828
0.547302,0.543583,0.544266,0.544359,0.544312
0.545816,0.542033,0.542757,0.542851,0.542803
0.544337,0.540491,0.541255,0.541351,0.541302
0.542866,0.538959,0.539761,0.539859,0.539809
0.541401,0.537434,0.538274,0.538374,0.538323
0.539944,0.535918,0.536795,0.536896,0.536845
0.538493,0.53441,0.535324,0.535426,0.535374
0.537049,0.53291,0.53386,0.533963,0.533911
0.535612,0.531419,0.532403,0.532508,0.532455
0.534181,0.529935,0.530954,0.53106,0.531006
0.532758,0.528459,0.529511,0.529619,0.529565
0.53134,0.526991,0.528076,0.528185,0.52813
0.52993,0.525531,0.526648,0.526759,0.526703
0.528526,0.524079,0.525228,0.525339,0.525283
0.527128,0.522634,0.523814,0.523926,0.523869
0.525737,0.521197,0.522407,0.522521,0.522463
0.524353,0.519768,0.521007,0.521122,0.521064
0.522974,0.518346,0.519614,0.51973,0.519671
0.521602,0.516931,0.518227,0.518344,0.518285
0.520237,0.515524,0.516848,0.516966,0.516906
0.518877,0.514124,0.515475,0.515594,0.515534
0.517524,0.512732,0.514109,0.514229,0.514168
0.516177,0.511346,0.512749,0.51287,0.512809
0.514836,0.509968,0.511396,0.511518,0.511456
0.513501,0.508596,0.510049,0.510172,0.51011
0.512173,0.507232,0.508709,0.508833,0.50877
0.51085,0.505874,0.507375,0.5075,0.507437
0.509533,0.504524,0.506048,0.506173,0.50611
0.508222,0.50318,0.504727,0.504853,0.504789
0.506917,0.501843,0.503412,0.503539,0.503475
0.505617,0.500513,0.502103,0.502231,0.502167
0.504324,0.499189,0.500801,0.500929,0.500864
0.503036,0.497872,0.499504,0.499634,0.499568
0.501754,0.496561,0.498214,0.498344,0.498279
0.500478,0.495257,0.49693,0.49706,0.496995
0.499207,0.49396,0.495651,0.495783,0.495717
0.497942,0.492669,0.494379,0.494511,0.494445
0.496683,0.491384,0.493113,0.493245,0.493178
0.495429,0.490105,0.491852,0.491985,0.491918
0.49418,0.488833,0.490597,0.490731,0.490664
0.492937,0.487567,0.489348,0.489483,0.489415
0.4917,0.486307,0.488105,0.48824,0.488172
0.490468,0.485053,0.486867,0.487003,0.486935
0.489241,0.483805,0.485635,0.485771,0.485703
0.48802,0.482563,0.484409,0.484546,0.484477
0.486804,0.481327,0.483188,0.483325,0.483256
0.485593,0.480097,0.481973,0.48211,0.482041
0.484387,0.478873,0.480763,0.480901,0.480832
0.483187,0.477654,0.479559,0.479697,0.479628
0.481991,0.476442,0.47836,0.478499,0.478429
0.480801,0.475235,0.477166,0.477306,0.477236
0.479616,0.474033,0.475978,0.476118,0.476048
0.478436,0.472838,0.474795,0.474936,0.474865
0.477261,0.471648,0.473618,0.473758,0.473688
0.476091,0.470463,0.472445,0.472586,0.472515
0.474926,0.469284,0.471278,0.471419,0.471348
0.473766,0.468111,0.470116,0.470258,0.470187
0.472611,0.466943,0.468959,0.469101,0.46903
0.471461,0.46578,0.467807,0.46795,0.467878
0.470315,0.464623,0.466661,0.466803,0.466732
0.469175,0.463471,0.465519,0.465662,0.46559
0.468039,0.462324,0.464382,0.464525,0.464453
0.466908,0.461182,0.46325,0.463394,0.463322
0.465782,0.460046,0.462124,0.462267,0.462195
0.46466,0.458915,0.461002,0.461145,0.461073
0.463543,0.457789,0.459884,0.460028,0.459956
0.462431,0.456668,0.458772,0.458916,0.458844
0.461323,0.455552,0.457665,0.457809,0.457736
0.46022,0.454441,0.456562,0.456707,0.456634
0.459122,0.453335,0.455464,0.455609,0.455536
